流速	流速，是流体的流动速度。
鲱鱼	鲱鱼是大部分鲱科鱼的通称。牠们多在暗沙或岸边联群游弋。
上野	上野是日本东京都台东区町名。邮递区号110-0005。
桥山	桥山是传说中的黄帝陵所在。具体所在有争议，有四处地点。
藏前	藏前是东京都台东区的地名。邮递区号为111-0051。
横网	横网是东京都墨田区的地名。邮递区号为130-0015。
文子	文子，道家人物，相传是老子弟子。众说纷纭，其源流不详。
市鸟	市鸟是一个城市的代表鸟类。市鸟一般要能代表城市的形象。
粤韵	粤韵，是以粤语音韵为基础，把中文字以粤语韵母分列出来。
森塔	森塔（Сента）是塞尔维亚的一座城市。位于蒂萨河畔。
郑晨	郑晨是浙江金华婺城区干西乡坛里郑村人。中国田径运动员。
祖拉	祖拉（Zula）是位于厄立特里亚东部红海沿岸的一座小镇。
可洛	可洛，原名梁伟洛，是香港作家。毕业于香港浸会大学中文系。
公晓	公晓是镰仓时代前期的僧侣。镰仓幕府2代将军源赖家之次男。
郡君	郡君，是中国、朝鲜古代命妇的封号。是指以郡名为封号的君。
底万	底万（波斯语：دیوان）是伊斯兰国家里的高级行政体系。
脂批	脂批，又称脂评，是自称中国古典小说《红楼梦》最早的评点。
经脉	经脉是中医学中经络的一种。经络中主干为经脉，分支为络脉。
义田	义田是指中国古代士绅为赡养族人所置的田产。属于族田之一。
德祐	德祐（四月）是宋恭帝赵㬎的年号。南宋使用这个年号共2年。
虢镇	虢镇是中国陕西省宝鸡市陈仓区下辖的一个镇，现为虢镇街道。
指的	指的是将某个特定疾病从其他展现类似症状的疾病中区分开来。
人丹	人丹是一种中成药，属于内科中暑类非处方药。主治驱风健胃。
景炎	景炎（四月）是宋端宗赵昰的年号。南宋使用这个年号共3年。
吊肉	吊肉是一种烹饪方式，用于使牛肉熟成。属于干式熟成的一种。
睫毛	睫毛是长于眼睑的边缘的毛发。具有保护眼睛的功用，十分敏感。
石庆	石庆，是西汉大臣。西汉时河内郡温县（今属河南）人，居茂陵。
厄镇	厄镇（Eu，ø）是法国滨海塞纳省的一个市镇，属于迪耶普区。
武暖	武暖，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡南部。
周洋	周洋，出生于中国吉林省长春市，是中国著名的短道速滑运动员。
含糊	含糊（vagueness），或作模糊，是语义学、哲学用语。
雷王	雷王是壮族师公奉祀之主神。壮人对它具有敬奉和惧畏两种心理。
捞化	捞化是米粉类福建小吃。除福建外，海内外福建人社区均可发现。
日及	日及是传说中的异牛。其肉割掉可以再生，这种牛在西域大月氏。
排雷	排雷是指将地雷移除的行为，依目的又分为战场排雷及人道排雷。
大塭	大塭，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡东部。
烧炭	烧炭是一种自杀的方法。自杀者将自己困在密闭空间内燃烧木炭。
壮一	壮一，是台湾宜兰县宜兰市的一个传统地域名称，位于该市中部。
日村	日村（Gy，ʒi）是法国上索恩省的一个市镇，属于沃苏勒区。
塭底	塭底，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡东部。
春雪	春雪（春の雪），是《丰饶之海》的首部曲，作者是三岛由纪夫。
阴唇	阴唇是女性外生殖器组成部分。人类的阴唇分为大阴唇与小阴唇。
台庆	台庆是指广播电台、电视台等机构企业自行举办的建立日庆祝活动。
以下	以下是国造列表，列出了日本古坟时代至飞鸟时代设置的所有国造。
玛璘	玛璘，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡东南部。
初台	初台是东京都涩谷区的地名。现行行政地名为初台一丁目与二丁目。
觉姓	觉姓，是中文姓氏之一。不在《百家姓》排行之列，现已非常罕见。
块规	块规是一种用于精密量测的标准工具，可以用做长度量测的标准件。
踏踏	踏踏，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡东南部。
为政	为政，是中国古代官名，即执政之意。春秋时期列国都是正卿执政。
辛追	辛追，或名避，是西汉吴氏长沙国丞相利苍的妻子，育有一子利豨。
烤饼	烤饼，是烘焙类面粉制品的统称，世界上不少地区都有，种类很多。
包被	包被（peridium）是真菌当中包覆在大量孢子外的保护层。
烫面	烫面是一种制作面团的技巧，用沸水来制作面团。常用于中式面食。
堂亲	堂亲是指跟自己父亲有血缘关系的同姓氏男性亲人及其姻亲和后代。
二围	二围，是台湾宜兰县头城镇的一个传统地域名称。位于该镇西南部。
荖浓	荖浓，是台湾高雄市六龟区的一个传统地域名称，位于该乡西北部。
桃井	桃井是东京都杉并区的地名。现行行政地名为桃井一丁目至四丁目。
萎缩	萎缩（英语：Atrophy）是指身体的一部分或全部日渐消瘦。
掌潭	掌潭，是台湾嘉义县东石乡的一个传统地域名称，位于该乡西南端。
弈心	弈心是一个五子棋软件。它是目前棋力最强的五子棋人工智能之一。
象牙	象牙是一种白色硬质物体。主要成分为牙本质，和骨头的成分相似。
墓道	墓道是坟墓所建筑的道路。可分为陵园地面道路、地下墓室道路两类。
杉溪	杉溪，位于中华人民共和国福建省西部的一条河流，是金溪左岸支流。
充仪	充仪，又作充衣、充依，是中国、越南帝王妃嫔称号。始于中国汉代。
地牛	地牛，是台湾民间传说中栖息于地底下的巨牛，也是发生地震的源头。
吕兴	吕兴，是三国时期孙吴末期人物。原本是吴交阯太守孙谞手下的郡吏。
冼姓	冼姓是一个中文姓氏，出自沈姓。 冼姓先祖名为沈汭，战国时燕人。
蓼国	蓼国，是中国历史上春秋时代的诸侯国。春秋时代有两个同名的蓼国。
成济	成济（？—260年）是三国时期曹魏权臣司马昭的部将。成倅之弟。
柴围	柴围，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡中部偏南。
钱姓	钱姓是一个汉姓，宋时的《百家姓》中排列第2位，因此而为人熟识。
华桑	华桑（学名：Morus cathayana）是桑科桑属的植物。
红僵	红僵，是僵尸的一种。余询之掩埋局及老仵作云:僵尸有红黑白三种。
孝基	孝基（529年四月—五月）是北魏北海王元颢的年号，共计两个月。
笛膜	笛膜是中国笛子的一个特色。有传至朝鲜后演变成的大琴继承了笛膜。
比西	比西（Busy，byzi）是法国杜省的一个市镇，属于贝桑松区。
幽闭	幽闭是中国古代对女性使用的宫刑，为五刑之一。最早见于《吕刑》。
七结	七结，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡中部偏东。
睾丸	睾丸是雄性动物生殖器官及生殖腺的一部份。是女性卵巢的同源器官。
投网	投网是一种捕鱼的渔网。网是圆形的，网的边缘分散着沉子（铅锤）。
弗吕	弗吕（Fluy，flɥi）是法国索姆省的一个市镇，属于亚眠区。
Mu	Mu（大写Μ，小写μ，中文音译：缪、姆），是第十二个希腊字母。
南简	南简，是台湾台中市梧栖区的一个传统地域名称，位于该区中部偏东。
六结	六结，是台湾宜兰县礁溪乡的一个传统地域名称。位于该乡中部偏东。
堀船	堀船是东京都北区的町名。现行行政地名为堀船一丁目至堀船四丁目。
通圣	通圣（617年十二月）是隋朝末期领袖曹武彻的年号，历时一个月。
油车	油车，是台湾云林县二仑乡的一个传统地域名称，位于该乡中部偏西。
宫坂	宫坂是东京都世田谷区的町名。现行行政单位为宫坂一丁目至三丁目。
粕谷	粕谷是东京都世田谷区的町名。现行行政地名为粕谷一丁目至四丁目。
潵河	潵河，也作洒河，位于中华人民共和国河北省北部，是滦河右岸支流。
海湾	海湾是一片三面环陆的海洋。与海湾相对的是三面环海的海岬或半岛。
耶村	耶村（Hyet，jɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
田端	田端是东京都北区的町名。现行行政地名为田端一丁目至田端六丁目。
三宿	三宿是东京都世田谷区的町名。现行行政地名为三宿一丁目与二丁目。
吕兹	吕兹（Luze，lyz）是法国上索恩省的一个市镇，属于吕尔区。
历法	历法是以日为基础单位计算时间的方法。一日以内的时间计算为计时。
地狼	地狼，也称穴狼，是传说中地下的狼。修行到一定程度就可以变人型。
斯卡	斯卡（Scar），或意译作伤疤，是《钢之炼金术师》的一个人物。
锡村	锡村（Scye，si）是法国上索恩省的一个市镇，属于沃苏勒区。
井草	井草是东京都杉并区的地名。现行行政地名为井草一丁目至井草五丁目。
根津	根津是东京都文京区的町名。现行行政地名为根津一丁目与根津二丁目。
顶湳	顶湳，是台湾云林县西螺镇的一个传统地域名称，位于该镇中部略偏南。
苏济	苏济（Souzy，suzi）是法国罗讷省的一个市镇，属于里昂区。
回音	回音是指障碍物对声音的反射。借由声波反射可以做出回声定位的效果。
巢鸭	巢鸭是东京都丰岛区的町名。现行行政地名为巢鸭一丁目至巢鸭五丁目。
车店	车店，是台湾嘉义市西区的一个传统地域名称，位于该区中部略偏东南。
吴景	吴景，东吴孙坚的妻弟，其姊吴夫人是孙策、孙权的母亲。吴郡吴县人。
拉兹	拉兹（Raze，ʁaz）是法国上索恩省的一个市镇，属于沃苏勒区。
音羽	音羽是东京都文京区的町名。现行行政地名为音羽一丁目与音羽二丁目。
言官	言官是明清两代对监察御史和给事中的通称。以其均有建言之责，故称。
关勉	关勉是日本以彗星猎人闻名的一位业余天文学家。出生于高知县高知市。
赵峻	赵峻，中国东汉中期的大臣，他是下邳人。 汉顺帝时，担任司隶校尉。
全音	全音是音乐中的一个单位。 在平均律中，完全八度的频率比为2:1。
顶潭	顶潭，是台湾嘉义县鹿草乡的一个传统地域名称，位于该乡南部略偏西。
夸斯	夸斯（Coise，kwaz）是法国罗讷省的一个市镇，属于里昂区。
搜搜	搜搜是一个搜索引擎，由腾讯控股有限公司所有。英文标识为SOSO。
刺芋	刺芋（学名：Lasia spinosa）是天南星科刺芋属的植物。
转调	转调，是在音乐进行中，从一种调（稳定的调）转入另一种新调的情况。
比里	比里（Bury，byʁi）是法国瓦兹省的一个市镇，属于克莱蒙区。
甲马	甲马是一种用于祭祀焚烧的白族民间木刻版画。也被称作甲马子、纸马。
阿泽	阿泽（Azé，aze）是法国马耶讷省的一个旧市镇，属于贡捷堡区。
赣菜	赣菜，又称江西菜，是中国菜主要菜系之一，在中国菜中占有较高地位。
湖广	湖广，一般是指湖北、湖南两省，又称两湖。如湖广总督、湖广安抚使。
多频	多频是指手机（无线手提电话）可同时支援使用同一种技术之不同波段。
奥奈	奥奈（Onay，ɔnɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
艾涅	艾涅（Aigné，ɛɲe）是法国萨尔特省的一个市镇，属于勒芒区。
令金	令金（Renggam），是位于马来西亚柔佛州居銮县内的一个小镇。
咽门	咽门是口腔后部进入咽喉的开口。它是位于软腭和舌根之间的狭窄通道。
节日	节日，是生活中值得纪念的重要日子。 各民族和地区都有自己的节日。
向君	向君（X向），中国湖北省武汉人，是一名职业足球运动员，司职后卫。
户越	户越是东京都品川区的地名。现行行政地名为户越一丁目至户越六丁目。
墨田	墨田是东京都墨田区的町名。现行行政地名为墨田一丁目至墨田五丁目。
帝师	帝师，是皇帝或皇帝未登基前的老师，例如方孝孺是明朝建文帝的帝师。
总章	总章（二月）是唐高宗李治的第六个年号。唐朝使用这个年号共2年余。
韩滔	韩滔，是《水浒传》人物，东京人氏，官至陈州团练使，武器是枣木槊。
野狐	野狐（やこ）是九州地方的关于狐狸附身的传说。即是指「野狐附身」。
菲耶	菲耶（Fyé，fje）是法国萨尔特省的一个市镇，属于马梅尔斯区。
侨兴	侨兴是纳斯达克第一家上市的中国电话制造商。是侨兴集团的美国分部。
板甲	板甲（Plate armour）是以金属制成的一整块金属板盔甲。
猗顿	猗顿，鲁国人，是战国时期的富商。 生平 猗顿原是鲁国的贫寒书生。
迪日	迪日（Diges，diʒ）是法国约讷省的一个市镇，属于欧塞尔区。
锡兹	锡兹（Cize，siz）是法国汝拉省的一个市镇，属于隆斯勒索涅区。
碳星	碳星是大气层内的碳比氧多，类似红巨星 (偶尔是红矮星) 的晚期星。
弗莱	弗莱（Flée，fle）是法国萨尔特省的一个市镇，属于拉弗莱什区。
骰宝	骰宝（赌大小），是一种用骰子赌博的方法。骰宝是由各闲家向庄家下注。
盘鹰	盘鹰是一种发源于中国，能仿真鹰、鹞、鸢等猛禽的飞行的单线运动风筝。
忍城	忍城（おしじょう）是位在埼玉县行田市的一座城。别名忍之浮城、龟城。
欧东	欧东（Audon，odɔ̃）是法国朗德省的一个市镇，属于达克斯区。
拉翁	拉翁（Rahon，ʁa.ɔ̃）是法国汝拉省的一个市镇，属于多勒区。
卢埃	卢埃（Loué，lwe）是法国萨尔特省的一个市镇，属于拉弗莱什区。
灰鸭	灰鸭（学名：Anas gracilis），是雁形目鸭科的一种鸟类。
欧热	欧热（Augé，oʒe）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
战马	战马是人类用于战斗的马。人类使用马匹战斗已有超过5000年的历史。
镀锌	镀锌，是指在铁或钢表面上铺上金属锌的Rustproofing方法。
瓦头	瓦头（Watto）是科幻电影《星际大战》系列所登场的一名虚构角色。
咸鱼	咸鱼，是用盐腌渍并晒干后的鱼肉。咸鱼是自古代已出现的鱼类腌制食物。
贞登	贞登是日本平安时代前期贵族，父亲是仁明天皇。官位为正五位下备中守。
圣册	圣册（905年－911年）是朝鲜半岛后三国后高句丽君主弓裔之年号。
前凉	前凉（301年－376年）是十六国政权之一。都姑臧（今甘肃武威）。
日迪	日迪（Gidy，ʒidi）是法国卢瓦雷省的一个市镇，属于奥尔良区。
舜井	舜井是济南七十二名泉之一。济南历史上以舜井为名的泉水并非只有一处。
社尾	社尾，是台湾台中市大甲区的一个传统地域名称，位于该区南半叶的北部。
别名	别名是指人或事物除了本名以外的名称。不同文化中的人名有不同的别名。
贞祐	贞祐（九月）是金宣宗的第一个年号。金宣宗使用贞祐这个年号一共五年。
杏目	杏目（アーモンドアイ，Almond Eye），是日本纯种竞赛马匹。
饼干	饼干是一种面粉制烘焙食品之称。饼干形状各异，并可夹心或在表面装饰。
源觉	源觉是日本平安时代前期贵族，父亲是仁明天皇。官位为正四位下宫内卿。
益达	益达（Extra）是一款口香糖品牌。1984年箭牌公司在美国推出。
贼军	贼军，是官军对立用语。日本历史上用于与朝廷对立一方军队的否定字眼。
雾凇	雾凇，也称树挂或雾冻，是一种在天气寒冷的地方出现的白色不透明晶体。
斯派	斯派（Spay，spɛ）是法国萨尔特省的一个市镇，属于拉弗莱什区。
赤堤	赤堤是东京都世田谷区的地名。现行行政地名为赤堤一丁目至赤堤五丁目。
政开	政开（914年－918年）是朝鲜半岛后三国后高句丽君主弓裔之年号。
范猷	范猷是越南李朝的一位将领。 范猷在李高宗在位期间担任上品奉御之职。
海星	海星是一种棘皮动物。一般海星身体呈五辐对称，5条腕从身体中间伸出。
杞姓	杞姓是中文姓氏之一，现行较罕见姓氏。 起源 杞氏，姒姓，夏禹之后。
贝夫	贝夫（Beffes，bɛf）是法国谢尔省的一个市镇，属于布尔日区。
鱼笼	鱼笼，又名地笼，是一种捕鱼的器具，用于捕捉鱼、黄鳝、泥鳅、虾子等。
霜降	霜降，含有天气渐冷、开始降霜的意思，是二十四节气中的第十八个节气。
兴定	兴定（八月）是金宣宗的第二个年号。金宣宗使用兴定这个年号一共六年。
迪约	迪约（Dyo，djo）是法国索恩-卢瓦尔省的一个市镇，属于沙罗勒区。
沙热	沙热（Chagey，ʃaʒɛ）是法国上索恩省的一个市镇，属于吕尔区。
纪国	纪国，是位于商朝东方的诸侯国，国祚由西周延续到春秋时代。国君为姜姓。
寒族	寒族，本意是出身低微的人。寒微、贫贱的家族，与地位显贵的望族相对称。
月岛	月岛是日本东京都中央区的町名。现行行政地名为月岛一丁目至月岛四丁目。
金莎	金莎是中国女歌手。因2002年出演《十八岁的天空》中的蓝菲琳而出名。
源冷	源冷是日本平安时代初期至前期公卿，父亲是仁明天皇。官位为从三位参议。
军矿	军矿，即军队自办矿，是中国人民解放军实行“军队经商”的一种具体形式。
锡泰	锡泰（Citey，sitɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
金面	金面，是台湾宜兰县头城镇的一个传统地域名称。位于该镇南半叶的西南部。
梅雷	梅雷（Méré，meʁe）是法国伊夫林省的一个市镇，属于朗布依埃区。
郑悰	郑悰是朝鲜王朝的一位文臣，本贯海州。他是朝鲜文宗的驸马，娶敬惠公主。
里尼	里尼（Rigny，ʁiɲi）是法国上索恩省的一个市镇，属于沃苏勒区。
开兴	开兴（四月）是金哀宗的第二个年号。金哀宗使用开兴这个年号一共4个月。
锡雷	锡雷（Cirey，siʁɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
沙勒	沙勒（Challes，ʃal）是法国萨尔特省的一个市镇，属于勒芒区。
谒者	谒者是中国古代官名。 春秋、战国时代，谒者是国君用来传达命令的近侍。
康忠	康忠（朝鲜语：강충，?），是高丽太祖王建的6代先祖。 康宝育的父亲。
瓦泽	瓦泽（Oizé，waze）是法国萨尔特省的一个市镇，属于拉弗莱什区。
开庆	开庆（1259年）是宋理宗赵昀的第七个年号。南宋使用这个年号共1年。
莫尼	莫尼（Mauny，moni）是法国滨海塞纳省的一个市镇，属于鲁昂区。
始平	始平（506年-507年）是柔然的君主佗汗可汗伏图的年号，共计2年。
屈尔	屈尔（Cures，kyʁ）是法国萨尔特省的一个市镇，属于马梅尔斯区。
福成	福成，是台湾宜兰县头城镇的一个传统地域名称。位于该镇南半叶的西北部。
皮塞	皮塞（Pusey，pyzɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
油池	油池（Yew Tee）是新加坡西部的一个区域。为蔡厝港下的一个分区。
钭姓	钭姓是中文姓氏之一，在《百家姓》中排第246位。现今为极罕见的姓氏。
雅迪	雅迪（1585）是中华人民共和国一个电动车生产商。其竞争对手为爱玛。
星组	星组（ほしぐみ）是宝冢歌剧团的第四个组。代表色原为黄色，后改为蓝色。
夹缬	夹缬是一种流行于东亚地区的传统雕版镂空印花防染工艺。在日本称为板缔。
茹伊	茹伊（Jouy，ʒwi）是法国厄尔-卢瓦省的一个市镇，属于沙特尔区。
洪村	洪村是江西省婺源县（旧属安徽省徽州府）清华镇下辖的一个村级行政单位。
九锡	九锡是中国汉朝、晋朝等朝代皇帝给臣子的九种最高赏赐。“锡”同“赐”。
天眷	天眷（正月）是金熙宗在位中期的年号。金熙宗使用天眷这个年号一共4年。
米路	米路是一个巴西的足球教练。现时为香港超级联赛球会标准流浪的技术顾问。
褐煤	褐煤是一种低热质的煤炭，是发育不完全，处于次烟煤和泥炭之间状态的煤。
昂皮	昂皮（Ampuis，ɑ̃pɥi）是法国罗讷省的一个市镇，属于里昂区。
补品	补品是指用于食疗或食养的食品或天然药品。补品与药物的概念接近但有别。
崇庆	崇庆（四月）是金卫绍王的第二个年号。卫绍王使用崇庆这个年号一共两年。
比希	比希（Buchy，byʃi）是法国滨海塞纳省的一个市镇，属于鲁昂区。
押加	押加，也称大象拔河、藏式拔河，是藏族的传统体育运动项目。类似于拔河。
管国	管国，是西周初期的一个重要的诸侯国。西周初年，管国频频在史书上出现。
成增	成增是日本东京都板桥区的町名。现行行政地名为成增一丁目至成增五丁目。
明昌	明昌（十一月）是金章宗的第一个年号。金章宗使用明昌这个年号一共7年。
水床	水床，是指用水填充的床或床垫。往往由内部的高分子水袋和外层织物构成。
修华	修华是中国帝王妃嫔称号。 晋武帝开始设置修华之号，位列九嫔，视为九卿。
元绪	元绪，字绍宗，是河南洛阳人，明元皇帝的曾孙。卫大将军、简王元梁的长子。
伊苏	伊苏（Issou，isu）是法国伊夫林省的一个市镇，属于芒特拉若利区。
滑姓	滑姓是中文姓氏之一，在《百家姓》中排第196位。在现代是极罕见的姓氏。
希泽	希泽（Chizé，ʃize）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
李琎	李琎是唐朝玄宗时宗室，初名李嗣恭，又名淳。唐睿宗之孙、让皇帝李宪长子。
后姓	后姓是中文姓氏之一，在《百家姓》中排第398位。在现代是极罕见的姓氏。
手铃	手铃（Handbell）是一种敲击乐器。由铃身、手柄和击锤三部分构成。
焦圈	焦圈是一种炸制食品，可储存十多天，但仍然很酥脆。焦圈常与豆汁一起食用。
博莱	博莱（Baulay，bolɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
龟户	龟户是东京都江东区的地名，属城东地域内。 邮递区号为136-0071。
洛蒙	洛蒙（Lomont，lɔmɔ̃）是法国上索恩省的一个市镇，属于吕尔区。
孔日	孔日（Congy，kɔ̃ʒi）是法国马恩省的一个市镇，属于埃佩尔奈区。
沃隆	沃隆（Volon，vɔlɔ̃）是法国上索恩省的一个市镇，属于沃苏勒区。
希谢	希谢（Chiché，ʃiʃe）是法国德塞夫勒省的市镇，属于布雷叙尔区。
马耶	马耶（Mayet，majɛ）是法国萨尔特省的一个市镇，属于拉弗莱什区。
恕道	恕道是中国哲学概念之一，也是普世价值。恕的意思是仁德，或可解释为体谅。
孔瑞	孔瑞（Conjux，kɔ̃ʒy）是法国萨瓦省的一个市镇，属于尚贝里区。
朴葳	朴葳是高丽王朝末期至朝鲜王朝初期的军事人物。他多次参与讨伐倭寇的战役。
迈雷	迈雷（Mairé，mɛʁe）是法国维埃纳省的一个市镇，属于沙泰勒罗区。
至宁	至宁（九月）是金卫绍王的第三个年号。卫绍王使用至宁这个年号一共5个月。
龟泽	龟泽是东京都墨田区的町名，设一丁目至四丁目。邮递区号130-0014。
韶姓	韶姓是中文姓氏之一，在《百家姓》中排第260位。在现代是极罕见的姓氏。
息肉	息肉是突出于黏膜的异常生长的组织，一般定义是长于中空器官的腔壁黏膜上。
蛇肉	蛇肉，是主要流行于中国华南、墨西哥、美国、琉球及东南亚等地的一种肉类。
假蒟	假蒟（学名：Piper sarmentosum）是胡椒科胡椒属的植物。
作家	作家（writer）是使用不同写作风格和技巧的书面文字来交流思想的人。
法隆	法隆（Fallon，falɔ̃）是法国上索恩省的一个市镇，属于吕尔区。
蓝树	蓝树（学名：Wrightia laevis）是夹竹桃科倒吊笔属的植物。
酆国	酆国（约前1046年～约前1023年），是西周一个诸侯国。国君为姬姓。
